Date,Close,Volume
2016-07-19,8.68,156800
2016-07-18,8.84,139000
2016-07-15,9.15,379500
2016-07-14,9.66,276500
2016-07-13,9.94,174000
2016-07-12,9.93,518800
2016-07-11,10.65,752500
2016-07-08,9.7,816800
2016-07-07,8.8,411800
2016-07-06,8.03,522700
2016-07-05,7.82,637200
2016-07-04,7.2,75900
2016-07-01,7.19,292200
2016-06-30,7.05,68800
2016-06-29,7.05,431900
2016-06-28,7,112200
2016-06-27,6.87,90800
2016-06-24,6.9,186500
2016-06-23,6.93,70000
2016-06-22,6.98,72900
2016-06-21,7.13,158900
2016-06-20,7.1,84800
2016-06-17,6.85,60500
2016-06-16,6.86,54900
2016-06-15,7.03,37400
2016-06-14,6.94,66200
2016-06-13,6.9,58700
2016-06-10,7.04,114500
2016-06-09,7.06,149300
2016-06-08,7.3,244700
2016-06-07,7.3,98800
2016-06-06,7.35,81300
2016-06-03,7.25,297800
2016-06-02,7.18,36000
2016-06-01,7.04,159000
2016-05-31,6.98,180400
2016-05-30,7.24,254800
2016-05-27,7,1281900
2016-05-26,7.44,118400
2016-05-25,7.49,198600
2016-05-24,7.53,122700
2016-05-23,7.27,228100
2016-05-20,7.25,140000
2016-05-19,7.16,298000
2016-05-18,7.14,283700
2016-05-17,7,0
2016-05-16,7,0
2016-05-13,7,130900
2016-05-12,6.89,130300
2016-05-11,6.69,169500
2016-05-10,6.59,79000
2016-05-09,6.38,101000
2016-05-06,6.35,34400
2016-05-05,6.39,0
2016-05-04,6.39,149100
2016-05-03,6.15,6900
2016-05-02,6.21,20400
2016-04-29,6.15,45400
2016-04-28,6.21,18900
2016-04-27,6.2,44500
2016-04-26,6.36,24400
2016-04-25,6.21,43200
2016-04-22,6.38,36700
2016-04-21,6.5,377800
2016-04-20,6.48,444900
2016-04-19,6.37,182300
2016-04-18,5.97,37000
2016-04-15,5.94,63800
2016-04-14,6,21900
2016-04-13,6.1,84500
2016-04-12,6.2,117700
2016-04-11,6.31,52500
2016-04-08,6.65,26200
2016-04-07,6.32,15500
2016-04-06,6.45,31000
2016-04-05,6.4,18300
2016-04-04,6.45,85200
2016-04-01,6.35,63600
2016-03-31,6.48,141800
2016-03-30,6.47,527800
2016-03-29,6.61,406100
2016-03-28,6.25,0
2016-03-25,6.25,0
2016-03-24,6.25,0
2016-03-23,6.25,187100
2016-03-22,6.29,310900
2016-03-21,6,69300
2016-03-18,6.1,132000
2016-03-17,5.8,15500
2016-03-16,5.95,186800
2016-03-15,5.95,178900
2016-03-14,6,410200
2016-03-11,5.77,277100
2016-03-10,5.5,130800
2016-03-09,5.4,357200
2016-03-08,5.19,138900
2016-03-07,5.17,129900
2016-03-04,5.17,207500
2016-03-03,4.8,213100
2016-03-02,4.7,31100
2016-03-01,4.6,300
2016-02-29,4.6,22000
2016-02-26,4.53,40200
2016-02-25,4.49,13800
2016-02-24,4.71,220700
2016-02-23,4.65,68900
2016-02-22,4.7,14800
2016-02-19,4.45,30000
2016-02-18,4.45,47800
2016-02-17,4.64,65100
2016-02-16,4.53,0
2016-02-15,4.53,33200
2016-02-12,4.74,200
2016-02-11,4.29,22500
2016-02-10,4.6,0
2016-02-09,4.6,10800
2016-02-08,4.5,26000
2016-02-05,4.6,0
2016-02-04,4.6,26200
2016-02-03,4.66,62900
2016-02-02,4.6,0
2016-02-01,4.6,5000
2016-01-29,4.6,0
2016-01-28,4.6,0
2016-01-27,4.6,500
2016-01-26,4.5,0
2016-01-25,4.5,0
2016-01-22,4.5,78600
2016-01-21,4.5,289400
2016-01-20,4.55,2500
2016-01-19,4.65,33600
2016-01-18,4.65,75400
2016-01-15,4.65,79600
2016-01-14,4.6,44300
2016-01-13,4.6,50800
2016-01-12,4.77,10500
2016-01-11,4.55,1200
2016-01-08,4.6,100
2016-01-07,4.5,21100
2016-01-06,4.5,0
2016-01-05,4.5,0
2016-01-04,4.5,30000
2016-01-01,4.64,0
